Keyword,Coefficient
cant wait,4.814547340718027
thank,4.517460821654104
thanks,4.019682445563994
welcome,3.9634175923891624
congratulations,3.4042375744223747
wish luck,3.3921025052225904
glad,3.3907516174645664
yay,3.32815915977743
excited,3.319759885382779
amazing,3.218946808685705
smile,3.2186217060655054
awesome,3.1453660838117594
hehe,3.0983315015540147
love,3.0894145864564617
great,3.0503398014325946
cute,2.985807060745443
hello,2.9815417207158634
enjoy,2.8981622524235857
happy,2.8429220879708157
heh,2.6832590605077447
congrats,2.674341209569978
lovely,2.6105090419164436
hi,2.5411497873068227
wonderful,2.534573912260329
much better,2.531092072593666
let know,2.523205300364144
hahaha,2.518347385984155
thx,2.517897679117948
cool,2.4749923506587748
blessed,2.4663219908703478
